No of Actors '6863'.
Actor details - FirstName:JulesLastName:PaufichetDob:1883.
Actor details - FirstName:KenLastName:BerryDob:1933.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MarinaLastName:BertiDob:1928.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JoeLastName:BesserDob:1916.
Actor details - FirstName:EugenieLastName:BessererDob:1870.
Actor details - FirstName:EdnaLastName:BestDob:1900.
Actor details - FirstName:WillieLastName:BestDob:1916.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TurhanLastName:BeyDob:.
Actor details - FirstName:RichardLastName:BeymerDob:1939.
Actor details - FirstName:DanielaLastName:BianchiDob:1942.
Actor details - FirstName:CharlesLastName:BickfordDob:1889.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TheodoreLastName:BikelDob:1924.
Actor details - FirstName:TonyLastName:BillDob:1940.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HermanLastName:BingDob:1889.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:EdwardLastName:BinnsDob:.
Actor details - FirstName:JullietteLastName:BinocheDob:1964.
Actor details - FirstName:PaulLastName:BirchDob:1900.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:NormanLastName:BirdDob:1920.
Actor details - FirstName:DavidLastName:BirneyDob:1944.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JacquelineLastName:BrownDob:1914.
Actor details - FirstName:WhitLastName:BissellDob:1919.
Actor details - FirstName:JacquelineLastName:BissetDob:1944.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BillLastName:BixbyDob:1934.
Actor details - FirstName:GunnarLastName:Gunnar Bj\"ornstrandDob:.
Actor details - FirstName:KarenLastName:ZiegelerDob:1942.
Actor details - FirstName:HonorLastName:BlackmanDob:1926.
Actor details - FirstName:JoanLastName:BlackmanDob:1938.
Actor details - FirstName:SidneyLastName:BlackmerDob:1895.
Actor details - FirstName:RubenLastName:BladesDob:1948.
Actor details - FirstName:GerardLastName:BlainDob:1930.
Actor details - FirstName:VivienneLastName:StapletonDob:1921.
Actor details - FirstName:ElizabethLastName:BogerDob:1923.
Actor details - FirstName:MarthaLastName:LaffertyDob:1921.
Actor details - FirstName:LindaLastName:BlairDob:1959.
Actor details - FirstName:BeverlyLastName:NeillDob:1929.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BlossomLastName: McDonaldDob:1896.
Actor details - FirstName:Michael (Bobby)LastName:GubitosiDob:1933.
Actor details - FirstName:WhitneyLastName:BlakeDob:.
Actor details - FirstName:ColinLastName:BlakelyDob:1930.
Actor details - FirstName:SusanLastName:BlakelyDob:1950.
Actor details - FirstName:RoneeLastName:BlakleyDob:1946.
Actor details - FirstName:MichelLastName:BlancDob:.
Actor details - FirstName:PierreLastName:BlancharDob:1892.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MaryLastName:BlanchardDob:1927.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ClaraLastName:BlandickDob:1880.
Actor details - FirstName:ElizabethLastName:JungDob:1910.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BrianLastName:BlessedDob:1937.
Actor details - FirstName:BernardLastName:BlierDob:1916.
Actor details - FirstName:DanLastName:BlockerDob:1928.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JoanLastName:BlondellDob:1909.
Actor details - FirstName:ClaireLastName:BloomDob:1931.
Actor details - FirstName:VernaLastName:BloomDob:.
Actor details - FirstName:EricLastName:BloreDob:1887.
Actor details - FirstName:MonteLastName:BlueDob:1890.
Actor details - FirstName:AnnLastName:BlythDob:1928.
Actor details - FirstName:Elizabeth BlytheLastName:SlaughterDob:1893.
Actor details - FirstName:JohnLastName:BlytheDob:1921.
Actor details - FirstName:EleanorLastName:BoardmanDob:1898.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LloydLastName:BochnerDob:1924.
Actor details - FirstName:KarlheinzLastName:BoehmDob:1928.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DerekLastName:Van Den BogaerdDob:1921.
Actor details - FirstName:Humphrey DeForestLastName:BogartDob:1899.
Actor details - FirstName:RomanLastName:BohnenDob:1894.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CurtLastName:BoisDob:1900.
Actor details - FirstName:MaryLastName:BolandDob:1880.
Actor details - FirstName:RayLastName:BolgerDob:1904.
Actor details - FirstName:TiffanyLastName:BollingDob:.
Actor details - FirstName:JosephLastName:BolognaDob:1938.
Actor details - FirstName:FortunioLastName:BonanovaDob:1893.
Actor details - FirstName:DerekLastName:BondDob:1919.
Actor details - FirstName:LillianLastName:BondDob:1910.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:WardLastName:BondDob:1903.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SergeiLastName:BondartchukDob:1920.
Actor details - FirstName:BeulahLastName:BondyDob:1889.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SandrineLastName:BonnaireDob:1967.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SalvatoreLastName: BonoDob:1940.
Actor details - FirstName:LastName:BonzoDob:.
Actor details - FirstName:PatLastName:BooneDob:1934.
Actor details - FirstName:RichardLastName:BooneDob:1917.
Actor details - FirstName:JohnLastName:BoormanDob:1933.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DavidLastName:Geeves-BoothDob:1930.
Actor details - FirstName:Thelma FordLastName:BoothDob:1907.
Actor details - FirstName:PowersLastName:BootheDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:VedaLastName:BorgDob:1915.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:VictorLastName:BorgeDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ErmesLastName:BorgninoDob:1915.
Actor details - FirstName:TomLastName:BosleyDob:1927.
Actor details - FirstName:BarryLastName:BostwickDob:1946.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JosephLastName:BottomsDob:1954.
Actor details - FirstName:SamLastName:BottomsDob:1960.
Actor details - FirstName:TimothyLastName:BottomsDob:1949.
Actor details - FirstName:BarbaraLastName:GutscherDob:1943.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MichelLastName:BouquetDob:1926.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PhillipLastName:BourneufDob:1912.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ClaraLastName:BowDob:1905.
Actor details - FirstName:DorrisLastName:BowdonDob:1915.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:David RobertLastName:JonesDob:1947.
Actor details - FirstName:JudyLastName:BowkerDob:1954.
Actor details - FirstName:LeeLastName:BowmanDob:1910.
Actor details - FirstName:BruceLastName:BoxleitnerDob:1950.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:WilliamLastName:MillarDob:1928.
Actor details - FirstName:WilliamLastName:BoydDob:1895.
Actor details - FirstName:William `Stage'LastName:BoydDob:.
Actor details - FirstName:CharlesLastName:BoyerDob:1899.
Actor details - FirstName:Lara FlynnLastName:BoyleDob:1970.
Actor details - FirstName:PeterLastName:BoyleDob:1933.
Actor details - FirstName:LastName:Dob:n.a..
Actor details - FirstName:ReizelLastName:BozykDob:1914.
Actor details - FirstName:MarcelLastName:BozzuffiDob:1929.
Actor details - FirstName:EddieLastName:BrackenDob:1920.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AliceLastName:BradyDob:1892.
Actor details - FirstName:PatLastName: BradyDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GeraldLastName:TierneyDob:1924.
Actor details - FirstName:SoniaLastName:BragaDob:.
Actor details - FirstName:Dame LilianLastName:BraithwaiteDob:1873.
Actor details - FirstName:WilfridLastName:BrambellDob:1912.
Actor details - FirstName:KennethLastName:BranaghDob:1960.
Actor details - FirstName:MiriamLastName:BrickmanDob:dob.
Actor details - FirstName:A.WilfordLastName:BrimleyDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:NevilleLastName:BrandDob:1921.
Actor details - FirstName:Klaus MariaLastName:BrandauerDob:1944.
Actor details - FirstName:MarlonLastName:BrandoDob:1924.
Actor details - FirstName:HenryLastName:KleinbachDob:1912.
Actor details - FirstName:MichaelLastName:BrandonDob:.
Actor details - FirstName:BetsyLastName: BrantleyDob:.
Actor details - FirstName:ClaudeLastName:BrasseurDob:1936.
Actor details - FirstName:PierreLastName:BrasseurDob:1903.
Actor details - FirstName:RossanoLastName:BrazziDob:1916.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ElLastName:BrendelDob:1890.
Actor details - FirstName:EileenLastName:BrennanDob:1935.
Actor details - FirstName:WalterLastName:BrennanDob:1894.
Actor details - FirstName:EveLastName:BrentDob:1930.
Actor details - FirstName:Mary ElizabethLastName:RiggsDob:1899.
Actor details - FirstName:George BrentLastName:NolanDob:1904.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:EdmundLastName:McLavertyDob:1882.
Actor details - FirstName:fnLastName:bnDob:.
Actor details - FirstName:FelixLastName:BressartDob:1890.
Actor details - FirstName:JeremyLastName:HugginsDob:1935.
Actor details - FirstName:Jarn-ClaudeGnLastName: BrialyDob:.
Actor details - FirstName:DavidLastName:BrianDob:1914.
Actor details - FirstName:LouiseLastName:DantzlerDob:1908.
Actor details - FirstName:FannyLastName:BorachDob:1891.
Actor details - FirstName:gnLastName:bnDob:.
Actor details - FirstName:BeauLastName:BridgesDob:1941.
Actor details - FirstName:JeffLastName:BridgesDob:1949.
Actor details - FirstName:LloydLastName:BridgesDob:1913.
Actor details - FirstName:A. WilfordLastName: BrimleyDob:.
Actor details - FirstName:CarlLastName:PedersenDob:1895.
Actor details - FirstName:MaybrittLastName:WilkensDob:1933.
Actor details - FirstName:SusanneLastName:CupitoDob:1953.
Actor details - FirstName:Barbara BrantinghamLastName:CrukorDob:1920.
Actor details - FirstName:PamelaLastName:BrittonDob:1923.
Actor details - FirstName:TonyLastName:BrittonDob:1925.
Actor details - FirstName:HermanLastName:BrixDob:1909.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HelenLastName:BroderickDob:1890.
Actor details - FirstName:JamesLastName:BroderickDob:1927.
Actor details - FirstName:MatthewLastName:BroderickDob:1951.
Actor details - FirstName:JohnLastName:StevensDob:1919.
Actor details - FirstName:EstelleLastName:BrodyDob:1905.
Actor details - FirstName:JamesLastName:BrolinDob:1940.
Actor details - FirstName:J.~EdwardLastName:BrombergDob:1903.
Actor details - FirstName:JohnLastName:BromfieldDob:1922.
Actor details - FirstName:EleanorLastName:BronDob:1934.
Actor details - FirstName:CharlesLastName:BuchinskiDob:1922.
Actor details - FirstName:CliffordLastName:BrookDob:1887.
Actor details - FirstName:FaithLastName:BrookDob:1922.
Actor details - FirstName:BeatriceLastName:PetersonDob:1914.
Actor details - FirstName:Albert LawrenceLastName:EinsteinDob:1947.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GeraldineLastName:StroockDob:1925.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:James L.LastName: BrooksDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MelvinLastName:KaminskyDob:1926.
Actor details - FirstName:PhyllisLastName:WeilerDob:1914.
Actor details - FirstName:RandLastName:BrooksDob:1918.
Actor details - FirstName:RayLastName:BrooksDob:1939.
Actor details - FirstName:Edward S.LastName:BrophyDob:1895.
Actor details - FirstName:LastName:Dob:1952.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MaryLastName:BroughDob:1863.
Actor details - FirstName:BlairLastName:BrownDob:1948.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BryanLastName:BrownDob:1947.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JuanitaLastName:BrownDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GeorgeLastName:BrownDob:1943.
Actor details - FirstName:GeorgiaLastName:KlotDob:1933.
Actor details - FirstName:JamesLastName:BrownDob:1920.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JimLastName:BrownDob:1936.
Actor details - FirstName:Joe E.LastName:BrownDob:1892.
Actor details - FirstName:John MackLastName:BrownDob:1904.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TomLastName:BrownDob:1913.
Actor details - FirstName:SmyllaLastName:BrindDob:1928.
Actor details - FirstName:WallyLastName:BrownDob:1989.
Actor details - FirstName:CoralLastName:BrowneDob:1913.
Actor details - FirstName:LastName:BrowneDob:.
Actor details - FirstName:Roscoe LeeLastName:BrowneDob:1925.
Actor details - FirstName:MardenLastName:McBroomDob:1914.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BruceLastName:NigelDob:1895.
Actor details - FirstName:Helen VirginiaLastName:BriggsDob:1910.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DoraLastName:BroadbentDob:1923.
Actor details - FirstName:JaneLastName:O'BrienDob:1918.
Actor details - FirstName:MichaelLastName:BryantDob:1928.
Actor details - FirstName:NanaLastName:BryantDob:1888.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:YoulLastName:BrynerDob:1915.
Actor details - FirstName:JohnLastName:BuchanDob:.
Actor details - FirstName:JackLastName:BuchananDob:1891.
Actor details - FirstName:HorstLastName:BuchholzDob:1933.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GenevieveLastName:BujoldDob:1942.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PeterLastName:BullDob:1912.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SandraLastName:BullockDob:1967.
Actor details - FirstName:AvisLastName:BunnageDob:.
Actor details - FirstName:VictorLastName:BuonoDob:1938.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BurdinelliLastName:ValerieDob:1960.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Mary William Ethelbert AppletonLastName:BurkeDob:1885.
Actor details - FirstName:JamesLastName:BurkeDob:1886.
Actor details - FirstName:PaulLastName:BurkeDob:1926.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CarolLastName:BurnettDob:1933.
Actor details - FirstName:gnLastName:BurnetteDob:.
Actor details - FirstName:BobLastName:BurnsDob:1893.
Actor details - FirstName:CatherineLastName:BurnsDob:1945.
Actor details - FirstName:NathanLastName:BirnbaumDob:1896.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MarkLastName:BurnsDob:1936.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RaymondLastName:BurrDob:1917.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:EdnaLastName:GilhooleyDob:1932.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:KateLastName: BurtonDob:1958.
Actor details - FirstName:LeVarLastName:BurtonDob:.
Actor details - FirstName:RichardLastName:JenkinsDob:1925.
Actor details - FirstName:RobertLastName:BurtonDob:1894.
Actor details - FirstName:SteveLastName:BuscemiDob:1958.
Actor details - FirstName:MaeLastName:BuschDob:1879.
Actor details - FirstName:GaryLastName:BuseyDob:1944.
Actor details - FirstName:BillyLastName:BushDob:.
Actor details - FirstName:AnthonyLastName:BushellDob:1904.
Actor details - FirstName:Francis X.LastName:BushmanDob:1883.
Actor details - FirstName:RobertLastName: ButlerDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:YancyLastName:ButlerDob:.
Actor details - FirstName:CharlesLastName:ButterworthDob:1896.
Actor details - FirstName:AaronLastName:ChwattDob:1918.
